video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
523,aAxGTnVNJiE,life_record_handicraft_medium,video_mme,Life Record,Handicraft,medium,515.0,515.0,0.955337,0.042627,5.7198,0.371369,0.920028,0.087769,9.1525,0.218173,-0.035309,0.045142,0.948505,0.069988,3.0508,0.186855,-0.006832,0.027361,0.959662,0.064334,3.0508,0.233683,0.004325,0.021707,success,,2026-04-16 05:25:05
533,5xi1iD4fkhc,life_record_food_medium,video_mme,Life Record,Food,medium,382.0,382.0,0.91713,0.099056,8.189,0.182047,0.885859,0.115963,10.1695,0.026446,-0.031271,0.016907,0.892455,0.124347,10.1695,0.006498,-0.024675,0.025291,0.862383,0.129951,12.2034,0.111752,-0.054747,0.030895,success,,2026-04-16 05:25:46
561,A30IuIjQYYg,life_record_travel_medium,video_mme,Life Record,Travel,medium,250.0,250.0,0.819778,0.116556,9.1566,0.142222,0.839116,0.100537,11.1864,0.29058,0.019338,-0.016019,0.835447,0.107165,11.1864,0.176324,0.015669,-0.009391,0.83356,0.102683,11.1864,0.201399,0.013782,-0.013873,success,,2026-04-16 05:26:19
562,nhpAc7lUgis,life_record_travel_medium,video_mme,Life Record,Travel,medium,295.0,295.0,0.871501,0.121811,8.3673,0.121312,0.875282,0.112715,10.1695,0.515494,0.003781,-0.009096,0.852076,0.144081,9.1525,0.170395,-0.019425,0.02227,0.876975,0.129909,8.1356,0.322543,0.005474,0.008098,success,,2026-04-16 05:27:00
551,yfbeNtST6Fs,life_record_daily_life_medium,video_mme,Life Record,Daily Life,medium,767.0,767.0,0.881321,0.113011,8.2245,-0.052468,0.869428,0.127891,12.2034,0.03826,-0.011893,0.01488,0.855502,0.117434,12.2034,-0.040773,-0.025819,0.004423,0.851543,0.124245,13.2203,-0.171707,-0.029778,0.011234,success,,2026-04-16 05:28:16
552,3m29MQ-qPfg,life_record_daily_life_medium,video_mme,Life Record,Daily Life,medium,614.0,614.0,0.862239,0.114802,8.8091,0.225579,0.850984,0.11611,9.1525,0.047733,-0.011255,0.001308,0.827527,0.107339,9.1525,-0.29965,-0.034712,-0.007463,0.838064,0.127378,8.1356,0.024068,-0.024175,0.012576,success,,2026-04-16 05:29:24
553,tCRpDpDgBcE,life_record_daily_life_medium,video_mme,Life Record,Daily Life,medium,547.0,547.0,0.858511,0.101619,10.4396,0.180257,0.862563,0.087578,12.2034,0.127718,0.004052,-0.014041,0.85703,0.092138,11.1864,0.244802,-0.001481,-0.009481,0.85663,0.104114,11.1864,0.228587,-0.001881,0.002495,success,,2026-04-16 05:30:28
534,ZBKUqc_ICpg,life_record_food_medium,video_mme,Life Record,Food,medium,459.0,459.0,0.887567,0.112398,7.4672,-0.061322,0.83566,0.148525,12.2034,-0.052896,-0.051907,0.036127,0.854547,0.132465,10.1695,-0.007559,-0.03302,0.020067,0.857335,0.132081,11.1864,0.046229,-0.030232,0.019683,success,,2026-04-16 05:33:25
535,ooqdg9Wr-mo,life_record_food_medium,video_mme,Life Record,Food,medium,485.0,485.0,0.766611,0.148865,11.7769,0.093828,0.771875,0.098784,8.1356,-0.028166,0.005264,-0.050081,0.752438,0.144962,11.1864,-0.090494,-0.014173,-0.003903,0.803269,0.122569,13.2203,0.218919,0.036658,-0.026296,success,,2026-04-16 05:34:30
564,tPQX0lMk6U0,life_record_travel_medium,video_mme,Life Record,Travel,medium,478.0,478.0,0.904788,0.132097,10.1887,0.097481,0.882763,0.125646,12.2034,-0.16036,-0.022025,-0.006451,0.898703,0.136097,11.1864,-0.240841,-0.006085,0.004,0.899749,0.125535,9.1525,0.150545,-0.005039,-0.006562,success,,2026-04-16 06:15:06
